"filename", "language", "Markdown", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\.config\dotnet-tools.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\ChargerClass.cs", "C#", 0, 51, 0, 0, 2, 5, 58
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\ChargerClass.csproj", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Configs\Config.cs", "C#", 0, 15, 0, 0, 3, 5, 23
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Extensions\Explosions.cs", "C#", 0, 152, 0, 0, 0, 5, 157
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Extensions\Targeting.cs", "C#", 0, 98, 0, 0, 0, 6, 104
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GameUtils\TileUtils.cs", "C#", 0, 37, 0, 0, 16, 10, 63
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GlobalNPCs\ModGlobalNPC.cs", "C#", 0, 257, 0, 0, 1, 7, 265
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GlobalNPCs\ModInstanceNPC.cs", "C#", 0, 339, 0, 0, 1, 13, 353
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GlobalProjectiles\ChargerProjectle.cs", "C#", 0, 619, 0, 0, 2, 15, 636
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ItemDropRules\DropConditions\BlueChargeDropCondition.cs", "C#", 0, 17, 0, 0, 0, 7, 24
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ItemDropRules\DropConditions\ChargeDropCondition.cs", "C#", 0, 17, 0, 0, 0, 7, 24
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ItemDropRules\DropConditions\OrangeChargeDropCondition.cs", "C#", 0, 17, 0, 0, 0, 7, 24
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Item\GlobalItem.cs", "C#", 0, 106, 0, 0, 0, 3, 109
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ChargeStatsUISystem.cs", "C#", 0, 79, 0, 0, 0, 9, 88
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ChargerClassGeneralSystem.cs", "C#", 0, 213, 0, 0, 3, 20, 236
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ChargerClassOreSystem.cs", "C#", 0, 49, 0, 0, 6, 13, 68
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ChargerMeterUISystem.cs", "C#", 0, 46, 0, 0, 9, 7, 62
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\DartAssemblyStationUISystem.cs", "C#", 0, 54, 0, 0, 0, 8, 62
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ModLightingSystem.cs", "C#", 0, 81, 0, 0, 0, 13, 94
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Players\ChargeModPlayer.cs", "C#", 0, 910, 0, 0, 1, 72, 983
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Sets\Sets.cs", "C#", 0, 57, 0, 0, 0, 5, 62
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Adrenaline.cs", "C#", 0, 15, 0, 0, 0, 3, 18
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Bound.cs", "C#", 0, 21, 0, 0, 0, 5, 26
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Charge.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Cursed.cs", "C#", 0, 21, 0, 0, 0, 5, 26
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Dabilitated.cs", "C#", 0, 22, 0, 0, 0, 5, 27
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\GodKiller.cs", "C#", 0, 21, 0, 0, 0, 5, 26
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Hate.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Impatience.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\LeadPoisoning.cs", "C#", 0, 21, 0, 0, 0, 5, 26
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\LightHeaded.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\LungCancer.cs", "C#", 0, 15, 0, 0, 0, 3, 18
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\Plague.cs", "C#", 0, 21, 0, 0, 0, 5, 26
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\RadiationSickness.cs", "C#", 0, 20, 0, 0, 0, 5, 25
"c:\Users\ktdra\OneDrive\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Buffs\RailRailGunBuff.cs", "C#", 0, 17, 0, 0, 0, 3, 20
